wavelength,FF01-460_60,FF01-530_43,FF01-565_24,FF01-623_24,FF03-525_50,FF01-523_610,FF01-618_50,FF01-609_57,FF01-609_54,FF01-558_20
200,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
200.1,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
200.2,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
200.3,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
200.4,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
200.5,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
200.6,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
200.7,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
200.8,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
200.9,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
201,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
201.1,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
201.2,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
201.3,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
201.4,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
201.5,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
201.6,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
201.7,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
201.8,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
201.9,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
202,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
202.1,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
202.2,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
202.3,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
202.4,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
202.5,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
202.6,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
202.7,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
202.8,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
202.9,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
203,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
203.1,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
203.2,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
203.3,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
203.4,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
203.5,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
203.6,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
203.7,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
203.8,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
203.9,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
204,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
204.1,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
204.2,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
204.3,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
204.4,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
204.5,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
204.6,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
204.7,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
204.8,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
