wavelength,jRGECO1a (calcium saturated) ab,jRGECO1a (calcium free) em,jRGECO1a (calcium free) ex,jRGECO1a (calcium free) 2p,jRGECO1a (calcium saturated) em,jRGECO1a (calcium saturated) ex,jRGECO1a (calcium saturated) 2p
253,0.6443,,,,,,
254,0.653,,,,,,
255,0.6681,,,,,,
256,0.6847,,,,,,
257,0.6975,,,,,,
258,0.7093,,,,,,
259,0.7332,,,,,,
260,0.7598,,,,,,
261,0.7772,,,,,,
262,0.7948,,,,,,
263,0.8131,,,,,,
264,0.8356,,,,,,
265,0.8564,,,,,,
266,0.8704,,,,,,
267,0.8876,,,,,,
268,0.9097,,,,,,
269,0.9283,,,,,,
270,0.9429,,,,,,
271,0.9547,,,,,,
272,0.966,,,,,,
273,0.978,,,,,,
274,0.9875,,,,,,
275,0.9936,,,,,,
276,0.9976,,,,,,
277,1.0,,,,,,
278,0.9998,,,,,,
279,0.9982,,,,,,
280,0.9949,,,,,,
281,0.9889,,,,,,
282,0.9785,,,,,,
283,0.9608,,,,,,
284,0.9254,,,,,,
285,0.8777,,,,,,
286,0.8276,,,,,,
287,0.7829,,,,,,
288,0.7416,,,,,,
289,0.6809,,,,,,
290,0.6269,,,,,,
291,0.591,,,,,,
292,0.5419,,,,,,
293,0.4897,,,,,,
294,0.4424,,,,,,
295,0.3924,,,,,,
296,0.3408,,,,,,
297,0.2868,,,,,,
298,0.2363,,,,,,
299,0.202,,,,,,
300,0.1764,,,,,,
301,0.1408,,,,,,
302,0.1124,,,,,,
303,0.1014,,,,,,
304,0.0932,,,,,,
305,0.0793,,,,,,
306,0.0666,,,,,,
307,0.0628,,,,,,
308,0.0611,,,,,,
309,0.0602,,,,,,
310,0.0594,,,,,,
311,0.0594,,,,,,
312,0.0594,,,,,,
313,0.0598,,,,,,
314,0.0619,,,,,,
315,0.0643,,,,,,
316,0.0662,,,,,,
317,0.068,,,,,,
318,0.0694,,,,,,
319,0.0703,,,,,,
320,0.0718,,,,,,
321,0.0736,,,,,,
322,0.0748,,,,,,
323,0.0751,,,,,,
324,0.0751,,,,,,
325,0.0766,,,,,,
326,0.0784,,,,,,
327,0.081,,,,,,
328,0.0837,,,,,,
329,0.0855,,,,,,
330,0.0891,,,,,,
331,0.0936,,,,,,
332,0.098,,,,,,
333,0.101,,,,,,
334,0.1039,,,,,,
335,0.1071,,,,,,
336,0.1098,,,,,,
337,0.1115,,,,,,
338,0.1096,,,,,,
339,0.1049,,,,,,
340,0.0984,,,,,,
341,0.0933,,,,,,
342,0.0897,,,,,,
343,0.0865,,,,,,
344,0.0838,,,,,,
345,0.0817,,,,,,
346,0.0785,,,,,,
347,0.0734,,,,,,
348,0.0695,,,,,,
349,0.0666,,,,,,
350,0.0647,,0.176,,,0.1965,
351,0.0629,,0.1696,,,0.1859,
352,0.0602,,0.1638,,,0.1752,
353,0.0584,,0.1595,,,0.1644,
354,0.0566,,0.1569,,,0.1537,
355,0.0539,,0.1539,,,0.1438,
356,0.0514,,0.1501,,,0.1354,
357,0.0506,,0.1466,,,0.1286,
358,0.0506,,0.1452,,,0.1219,
359,0.0506,,0.1441,,,0.1151,
360,0.0506,,0.1426,,,0.1092,
361,0.0506,,0.1418,,,0.1046,
362,0.0503,,0.1424,,,0.1003,
363,0.0489,,0.1422,,,0.0959,
364,0.0475,,0.1407,,,0.0921,
365,0.0471,,0.1394,,,0.0896,
366,0.0471,,0.14,,,0.0881,
367,0.0471,,0.1411,,,0.0869,
368,0.0471,,0.141,,,0.0854,
369,0.0471,,0.1384,,,0.0827,
370,0.0471,,0.1354,,,0.0794,
371,0.0471,,0.1329,,,0.0769,
372,0.0471,,0.1313,,,0.0758,
373,0.048,,0.1313,,,0.0748,
374,0.0489,,0.1322,,,0.0725,
375,0.0489,,0.1309,,,0.0701,
376,0.0489,,0.1278,,,0.0678,
377,0.0489,,0.1255,,,0.0665,
378,0.049,,0.1248,,,0.0649,
379,0.0498,,0.1231,,,0.0629,
380,0.0496,,0.1207,,,0.0605,
381,0.0489,,0.1186,,,0.0579,
382,0.0486,,0.1176,,,0.0556,
383,0.0477,,0.116,,,0.0532,
384,0.0471,,0.1146,,,0.0509,
385,0.0471,,0.1134,,,0.0483,
386,0.0471,,0.1124,,,0.0461,
387,0.0471,,0.1114,,,0.0439,
388,0.0471,,0.111,,,0.0417,
389,0.0471,,0.1103,,,0.0391,
390,0.0471,,0.1091,,,0.0366,
391,0.0471,,0.1079,,,0.0338,
392,0.0471,,0.1071,,,0.0313,
393,0.0471,,0.1056,,,0.0289,
394,0.0471,,0.1047,,,0.0268,
395,0.0463,,0.1041,,,0.025,
396,0.0454,,0.1038,,,0.0229,
397,0.0454,,0.1033,,,0.0207,
398,0.0463,,0.103,,,0.0192,
399,0.0462,,0.102,,,0.0185,
400,0.0456,,0.1005,,,0.0176,
401,0.0474,,0.099,,,0.0165,
402,0.0489,,0.0982,,,0.0153,
403,0.0489,,0.098,,,0.0143,
404,0.0487,,0.0984,,,0.0136,
405,0.0477,,0.0979,,,0.0131,
406,0.0471,,0.0978,,,0.0126,
407,0.0475,,0.0978,,,0.0124,
408,0.0484,,0.0985,,,0.0123,
409,0.0489,,0.1001,,,0.0122,
410,0.0489,,0.1026,,,0.0121,
411,0.0489,,0.105,,,0.012,
412,0.0489,,0.1066,,,0.0119,
413,0.0489,,0.1085,,,0.0121,
414,0.0489,,0.1099,,,0.0124,
415,0.0489,,0.1108,,,0.0124,
416,0.0489,,0.1123,,,0.0125,
417,0.0489,,0.1155,,,0.0128,
418,0.0489,,0.1182,,,0.0129,
419,0.0489,,0.1201,,,0.0127,
420,0.0489,,0.122,,,0.013,
421,0.0498,,0.1246,,,0.0136,
422,0.0506,,0.1272,,,0.0141,
423,0.0506,,0.129,,,0.0142,
424,0.0506,,0.1309,,,0.0145,
425,0.0506,,0.1334,,,0.0147,
426,0.0506,,0.1361,,,0.0148,
427,0.0506,,0.1384,,,0.0152,
428,0.0509,,0.1397,,,0.0159,
429,0.0522,,0.141,,,0.0168,
