wavelength_1,M565L3,wavelength_2,MINTL5
350,0,199.97546,0
351,0,200.17692,0
352,0,200.37839,0
353,0,200.57989,0
354,0,200.7814,0
355,0,200.98293,0
356,0,201.18448,0
357,0,201.38605,0
358,0,201.58764,0
359,0,201.78925,0
360,0,201.99087,0
361,0,202.19252,0
362,0,202.39418,0
363,0,202.59586,0
364,0,202.79756,0
365,0,202.99928,0
366,0,203.20102,0
367,0,203.40278,0
368,0,203.60455,0
369,0,203.80635,0
370,0,204.00816,0
371,0,204.20999,0
372,0,204.41184,0
373,0,204.61371,0
374,0,204.8156,0
375,0,205.0175,0
376,0,205.21943,0
377,0,205.42137,0
378,0,205.62334,0
379,0,205.82532,0
380,0,206.02732,0
381,0,206.22934,0
382,0,206.43137,0
383,0,206.63343,0
384,0,206.83551,0
385,0,207.0376,0
386,0,207.23971,0
387,0,207.44184,0
388,0,207.64399,0
389,0,207.84616,0
390,0,208.04835,0
391,0,208.25055,0
392,0,208.45278,0
393,0,208.65502,0
394,0,208.85728,0
395,0,209.05956,0
396,0,209.26186,0.000119917
397,0,209.46418,0.000546142
398,0,209.66651,0.000972367
399,0,209.86887,0.00139859
400,0,210.07124,0.00182482
401,0,210.27363,0.00281326
402,0,210.47604,0.0038017
403,0,210.67847,0.00479015
404,0,210.88092,0.00635036
405,0,211.08338,0.00930657
406,0,211.28587,0.0122628
407,0,211.48837,0.015219
408,0,211.69089,0.0181752
409,0,211.89343,0.0211314
410,0,212.09599,0.0242473
411,0,212.29857,0.0286793
412,0,212.50117,0.0331113
413,0,212.70378,0.0375433
414,0,212.90641,0.0417792
415,0,213.10907,0.0457193
416,0,213.31174,0.0496594
417,0,213.51442,0.0535995
418,0,213.71713,0.0660173
419,0,213.91986,0.0775776
420,0,214.1226,0.0834854
421,0,214.32537,0.0893932
422,0,214.52815,0.0953011
423,0,214.73095,0.108889
424,0,214.93376,0.125128
425,0,215.1366,0.139104
426,0,215.33946,0.14698
427,0,215.54233,0.157719
428,0,215.74522,0.166597
429,0,215.94813,0.176464
430,0,216.15106,0.188276
431,0,216.35401,0.201129
432,0,216.55698,0.208175
433,0,216.75996,0.221333
434,0,216.96297,0.230783
435,0,217.16599,0.240233
436,0,217.36903,0.249459
437,0,217.57209,0.257334
438,0,217.77517,0.265917
439,0,217.97826,0.276252
440,0,218.18138,0.286588
441,0,218.38451,0.307742
442,0,218.58766,0.312591
443,0,218.79083,0.335842
444,0,218.99402,0.347263
445,0,219.19722,0.359307
446,0,219.40045,0.362263
447,0,219.60369,0.365219
448,0,219.80695,0.361168
449,0,220.01023,0.355019
450,0,220.21353,0.351334
451,0,220.41685,0.326658
452,0,220.62018,0.307968
453,0,220.82354,0.286182
454,0,221.02691,0.260605
455,0,221.2303,0.239713
456,0,221.43371,0.222007
457,0,221.63713,0.192177
458,0,221.84058,0.179785
459,0,222.04404,0.167392
460,0,222.24753,0.155164
461,0,222.45103,0.148085
462,0,222.65455,0.141005
463,0,222.85808,0.133926
464,0,223.06164,0.129343
465,0,223.26521,0.12492
466,0,223.46881,0.120497
467,0,223.67242,0.116074
468,0,223.87605,0.111651
469,0,224.07969,0.104295
470,0,224.28336,0.0969206
471,0,224.48704,0.0918522
472,0,224.69075,0.0889051
473,0,224.89447,0.085958
474,0,225.0982,0.0830109
475,0,225.30196,0.0818602
476,0,225.50574,0.0811268
477,0,225.70953,0.0814425
478,0,225.91334,0.0838084
479,0,226.11717,0.0861743
480,0,226.32102,0.0888686
481,0,226.52489,0.0925627
482,0,226.72878,0.0962568
483,0,226.93268,0.101094
484,0,227.1366,0.106264
485,0,227.34054,0.111508
486,0,227.5445,0.116924
487,0,227.74848,0.12234
488,0,227.95247,0.127755
489,0,228.15649,0.136608
490,0,228.36052,0.147828
491,0,228.56457,0.159049
492,0,228.76863,0.170566
493,0,228.97272,0.182377
494,0,229.17683,0.194599
495,0,229.38095,0.221168
496,0,229.58509,0.246204
497,0,229.78925,0.263919
498,0,229.99343,0.281633
499,0,230.19762,0.299106
500,0,230.40183,0.319343
501,0,230.60607,0.345912
502,0,230.81032,0.384929
503,0,231.01459,0.410961
504,0,231.21887,0.436994
505,0,231.42318,0.463027
506,0,231.6275,0.489059
507,0,231.83184,0.515092
508,0,232.0362,0.541125
509,0,232.24058,0.565736
510,0,232.44497,0.590009
511,0,232.64939,0.614283
512,0,232.85382,0.638556
513,0,233.05827,0.66283
514,0,233.26274,0.685682
515,0,233.46722,0.704134
516,0,233.67173,0.722587
517,0,233.87625,0.747299
518,0,234.08079,0.773869
519,0,234.28535,0.792773
520,0,234.48993,0.810979
521,0,234.69452,0.829186
522,0,234.89914,0.846068
523,0,235.10377,0.857879
524,0,235.30842,0.86969
525,0,235.51309,0.881501
526,0,235.71777,0.893312
527,0,235.92248,0.905123
528,0,236.1272,0.916934
529,0,236.33194,0.928745
530,0,236.5367,0.940055
531,0,236.74147,0.948914
532,0,236.94627,0.957774
533,0,237.15108,0.964061
534,0,237.35591,0.969231
535,0,237.56076,0.97407
536,0,237.76563,0.977765
537,0,237.97051,0.981459
538,0,238.17541,0.983712
539,0,238.38033,0.985487
540,0,238.58527,0.987263
541,0,238.79023,0.989818
542,0,238.9952,0.992774
543,0,239.2002,0.994032
544,0,239.40521,0.99488
545,0,239.61024,0.995728
546,0,239.81529,0.996576
547,0,240.02035,0.996864
548,0,240.22543,0.996541
549,0,240.43053,0.996218
550,0,240.63565,0.995894
551,0,240.84079,0.995571
552,0,241.04595,0.995247
553,0,241.25112,0.992977
554,0,241.45631,0.990522
555,0,241.66152,0.988066
556,0,241.86675,0.985645
557,0,242.07199,0.983354
558,0,242.27726,0.981062
559,0,242.48254,0.978771
560,0,242.68784,0.97648
561,0,242.89315,0.974189
562,0,243.09849,0.971163
563,0,243.30384,0.967724
564,0,243.50921,0.964285
565,0,243.7146,0.960846
566,0,243.92001,0.957522
567,0,244.12543,0.954206
568,0,244.33087,0.95089
569,0,244.53633,0.947574
570,0,244.74181,0.944258
571,0,244.94731,0.931134
572,0,245.15282,0.923867
573,0,245.35836,0.918624
574,0,245.56391,0.913381
575,0,245.76948,0.908138
576,0,245.97506,0.902895
577,0,246.18067,0.897206
578,0,246.38629,0.889536
579,0,246.59193,0.881867
580,0,246.79758,0.874307
581,0,247.00326,0.867818
582,0,247.20895,0.861328
583,0,247.41466,0.854839
584,0,247.62039,0.84835
585,0,247.82614,0.841861
586,0,248.03191,0.835372
587,0,248.23769,0.827032
588,0,248.44349,0.81851
589,0,248.64931,0.809987
590,0,248.85514,0.801465
591,0,249.061,0.792943
592,0,249.26687,0.78442
593,0,249.47276,0.775898
594,0,249.67867,0.767375
595,0,249.88459,0.758853
596,0,250.09054,0.75033
597,0,250.2965,0.741808
598,0,250.50248,0.732427
599,0,250.70847,0.722807
600,0,250.91449,0.713186
601,0,251.12052,0.703566
602,0,251.32657,0.693946
603,0,251.53264,0.684325
604,0,251.73872,0.674705
605,0,251.94483,0.665084
606,0,252.15095,0.655464
607,0,252.35709,0.645844
608,0,252.56325,0.636223
609,0,252.76942,0.626603
610,0,252.97561,0.616983
611,0,253.18182,0.607362
612,0,253.38805,0.597677
613,0,253.5943,0.587941
614,0,253.80056,0.578205
615,0,254.00684,0.568469
616,0,254.21314,0.558734
617,0,254.41946,0.548998
618,0,254.62579,0.539262
619,0,254.83214,0.529526
620,0,255.03851,0.51979
621,0,255.2449,0.510054
622,0,255.45131,0.500318
623,0,255.65773,0.490583
624,0,255.86417,0.481489
625,0,256.07063,0.475
626,0,256.27711,0.468511
627,0,256.4836,0.462022
628,0,256.69011,0.455533
629,0,256.89664,0.449044
630,0,257.10319,0.442199
631,0,257.30975,0.422067
632,0,257.51634,0.416168
633,0,257.72294,0.403864
634,0,257.92955,0.410557
635,0,258.13619,0.401479
636,0,258.34284,0.392402
637,0,258.54951,0.383324
638,0,258.7562,0.374247
639,0,258.96291,0.365169
640,0,259.16963,0.356092
641,0,259.37637,0.347015
642,0,259.58313,0.339261
643,0,259.78991,0.331676
644,0,259.9967,0.32409
645,0,260.20351,0.316505
646,0,260.41034,0.309736
647,0,260.61719,0.30361
648,0,260.82406,0.297485
649,0,261.03094,0.291359
650,0,261.23784,0.285233
651,0,261.44476,0.279107
652,0,261.65169,0.272981
653,0,261.85864,0.266856
654,0,262.06561,0.261069
655,0,262.2726,0.255592
656,0,262.47961,0.250115
657,0,262.68663,0.244638
658,0,262.89367,0.239183
659,0,263.10073,0.233821
660,0,263.30781,0.228459
661,0,263.5149,0.223097
662,0,263.72201,0.217735
663,0,263.92914,0.212373
664,0,264.13629,0.207011
665,0,264.34345,0.202072
666,0,264.55063,0.197783
667,0,264.75783,0.193494
668,0,264.96505,0.189205
669,0,265.17228,0.184917
670,0,265.37953,0.180628
671,0,265.5868,0.176339
672,0,265.79409,0.172173
673,0,266.00139,0.168091
674,0,266.20871,0.164008
675,0,266.41605,0.159926
676,0,266.62341,0.155844
677,0,266.83078,0.151761
678,0,267.03817,0.147679
679,0,267.24558,0.143597
680,0,267.45301,0.14002
681,0,267.66045,0.136846
682,0,267.86791,0.133671
683,0,268.07539,0.130497
684,0,268.28289,0.127323
685,0,268.4904,0.124149
686,0,268.69793,0.120975
687,0,268.90548,0.117801
688,0,269.11305,0.114898
689,0,269.32063,0.112246
690,0,269.52823,0.109594
691,0,269.73585,0.106942
692,0,269.94349,0.10429
693,0,270.15114,0.101638
694,0,270.35881,0.0989863
695,0,270.5665,0.0963344
696,0,270.77421,0.0936825
697,0,270.98193,0.0910306
698,0,271.18967,0.0883786
699,0,271.39743,0.0857267
700,0,271.60521,0.083217
701,0,271.813,0.0814853
702,0,272.02081,0.0797536
703,0,272.22864,0.078022
704,0,272.43648,0.0762903
705,0,272.64434,0.0745586
706,0,272.85222,0.0728269
707,0,273.06012,0.0710952
708,0,273.26804,0.0693635
709,0,273.47597,0.0676318
710,0,273.68392,0.0659001
711,0,273.89188,0.0642862
712,0,274.09987,0.0627372
713,0,274.30787,0.0611883
714,0,274.51589,0.0596394
715,0,274.72392,0.0580904
716,0,274.93198,0.0565415
717,0,275.14005,0.0549926
718,0,275.34814,0.0534436
719,0,275.55624,0.0518947
720,0,275.76437,0.0503458
721,0,275.97251,0.0487968
722,0,276.18066,0.0472479
723,0,276.38884,0.0455794
724,0,276.59703,0.0438973
725,0,276.80524,0.0422152
726,0,277.01347,0.0405331
727,0,277.22171,0.0392518
728,0,277.42997,0.0382725
729,0,277.63825,0.0372932
730,0,277.84655,0.0363139
731,0,278.05486,0.0353345
732,0,278.26319,0.0343568
733,0,278.47154,0.0336234
734,0,278.6799,0.0328901
735,0,278.88829,0.0321567
736,0,279.09669,0.0314234
737,0,279.3051,0.03069
738,0,279.51354,0.0299567
739,0,279.72199,0.0292233
740,0,279.93046,0.0286567
741,0,280.13894,0.0282071
742,0,280.34745,0.0277576
743,0,280.55597,0.027308
744,0,280.7645,0.0268585
745,0,280.97306,0.026409
746,0,281.18163,0.0259594
747,0,281.39022,0.0255099
748,0,281.59883,0.0249854
749,0,281.80745,0.0243996
750,0,282.01609,0.0238139
751,0,282.22475,0.0232281
752,0,282.43342,0.0226423
753,0,282.64212,0.0220566
754,0,282.85083,0.0214708
755,0,283.05955,0.020885
756,0,283.2683,0.0202993
757,0,283.47706,0.0197135
758,0,283.68584,0.0191277
759,0,283.89463,0.018542
760,0,284.10345,0.0179662
761,0,284.31228,0.0174341
762,0,284.52112,0.016902
763,0,284.72999,0.0163699
764,0,284.93887,0.0158378
765,0,285.14777,0.0153057
766,0,285.35668,0.0147736
767,0,285.56562,0.0140693
768,0,285.77457,0.01309
769,0,285.98353,0.0121107
770,0,286.19252,0.0111314
771,0,286.40152,0.0108166
772,0,286.61054,0.0108212
773,0,286.81957,0.0108257
774,0,287.02863,0.0108303
775,0,287.2377,0.0108349
776,0,287.44678,0.0105703
777,0,287.65589,0.0102059
778,0,287.86501,0.00984147
779,0,288.07415,0.00947708
