wavelength ,blue_ex,blue_raw,green_ex,green_raw,lime_ex,lime_raw,red_ex,em_jrgeco_filter_under blue,em_jrgeco_filter_under green,em_jrgeco_filter_under lime,em_jrgeco_filter_under red,em_525_50_under_blue,dv2_shorter_wl_under_white_led,dv2_longer_wl_under_white_led,
178.06,773.82,854.48,796.50,801.54,771.30,902.37,761.21,730.97,761.21,788.94,746.09,763.73,791.46,710.80,
178.44,773.82,854.48,796.50,801.54,771.30,902.37,761.21,730.97,761.21,788.94,746.09,763.73,791.46,710.80,
178.83,725.93,715.84,609.98,720.88,730.97,819.19,738.53,632.66,660.39,667.95,665.43,602.42,625.10,635.19,
179.21,657.87,683.08,675.51,642.75,665.43,829.27,637.71,630.14,675.51,620.06,612.50,599.90,526.80,642.75,
179.59,672.99,635.19,715.84,647.79,665.43,778.86,683.08,625.10,642.75,607.46,637.71,675.51,672.99,549.49,
179.97,652.83,703.24,670.47,685.60,733.49,783.90,612.50,630.14,592.34,609.98,559.57,607.46,554.53,652.83,
180.36,637.71,612.50,683.08,604.94,635.19,700.72,569.65,627.62,592.34,642.75,514.20,597.38,511.68,534.36,
180.74,630.14,688.12,685.60,645.27,655.35,768.78,630.14,607.46,625.10,557.05,617.54,672.99,564.61,546.97,
181.12,678.04,625.10,607.46,617.54,652.83,768.78,632.66,584.77,564.61,604.94,562.09,642.75,609.98,567.13,
181.51,657.87,667.95,672.99,612.50,703.24,728.45,620.06,584.77,554.53,559.57,599.90,592.34,602.42,604.94,
181.89,662.91,592.34,657.87,680.56,680.56,761.21,609.98,587.29,579.73,599.90,665.43,607.46,632.66,584.77,
182.27,615.02,617.54,665.43,625.10,678.04,680.56,662.91,625.10,602.42,567.13,594.86,569.65,572.17,531.84,
182.66,579.73,617.54,635.19,642.75,609.98,698.20,602.42,647.79,577.21,589.82,546.97,597.38,592.34,546.97,
183.04,640.23,622.58,630.14,645.27,703.24,761.21,607.46,577.21,627.62,645.27,604.94,627.62,657.87,531.84,
183.42,607.46,617.54,665.43,645.27,635.19,773.82,615.02,592.34,645.27,630.14,620.06,670.47,635.19,544.44,
183.80,693.16,572.17,640.23,665.43,652.83,778.86,667.95,637.71,655.35,587.29,620.06,557.05,562.09,587.29,
184.19,630.14,567.13,637.71,609.98,667.95,756.17,705.76,635.19,587.29,544.44,620.06,544.44,607.46,526.80,
184.57,617.54,660.39,662.91,632.66,693.16,746.09,688.12,607.46,617.54,599.90,655.35,625.10,615.02,582.25,
184.95,627.62,680.56,642.75,743.57,690.64,748.61,675.51,680.56,637.71,665.43,625.10,741.05,587.29,584.77,
185.34,622.58,650.31,730.97,662.91,672.99,829.27,647.79,655.35,670.47,604.94,625.10,622.58,627.62,592.34,
185.72,675.51,743.57,758.69,723.41,758.69,849.43,710.80,693.16,741.05,662.91,645.27,688.12,713.32,688.12,
186.10,708.28,753.65,725.93,710.80,778.86,834.31,675.51,680.56,678.04,710.80,683.08,632.66,685.60,693.16,
186.48,708.28,730.97,660.39,741.05,763.73,796.50,773.82,655.35,640.23,743.57,720.88,720.88,625.10,630.14,
186.87,748.61,748.61,834.31,819.19,741.05,854.48,786.42,705.76,728.45,778.86,728.45,738.53,678.04,688.12,
187.25,839.35,857.00,877.16,882.20,894.80,1086.37,836.83,814.15,743.57,801.54,791.46,811.63,788.94,816.67,
187.63,786.42,761.21,793.98,841.87,804.06,927.57,672.99,736.01,736.01,708.28,688.12,678.04,683.08,625.10,
188.01,700.72,725.93,751.13,771.30,788.94,851.96,763.73,758.69,786.42,756.17,718.36,738.53,718.36,650.31,
188.40,710.80,700.72,793.98,768.78,763.73,942.70,801.54,728.45,715.84,705.76,741.05,728.45,720.88,678.04,
188.78,713.32,748.61,801.54,771.30,758.69,859.52,743.57,786.42,799.02,690.64,645.27,736.01,700.72,730.97,
189.16,783.90,773.82,821.71,816.67,862.04,912.45,758.69,799.02,713.32,756.17,748.61,786.42,748.61,781.38,
189.54,708.28,796.50,849.43,761.21,771.30,902.37,804.06,793.98,725.93,763.73,846.91,801.54,710.80,733.49,
189.92,730.97,733.49,771.30,786.42,809.11,947.74,801.54,708.28,811.63,758.69,771.30,819.19,718.36,690.64,
190.31,776.34,773.82,859.52,821.71,844.39,935.13,884.72,758.69,725.93,741.05,743.57,776.34,761.21,695.68,
190.69,793.98,849.43,801.54,773.82,841.87,912.45,884.72,730.97,748.61,821.71,778.86,839.35,698.20,700.72,
191.07,849.43,788.94,783.90,811.63,781.38,902.37,826.75,738.53,751.13,743.57,783.90,821.71,723.41,821.71,
191.45,851.96,793.98,841.87,766.26,816.67,960.34,826.75,799.02,761.21,826.75,783.90,804.06,725.93,796.50,
191.83,826.75,761.21,773.82,831.79,824.23,960.34,778.86,793.98,799.02,826.75,854.48,773.82,725.93,809.11,
192.22,927.57,809.11,826.75,811.63,811.63,920.01,829.27,778.86,725.93,809.11,806.58,748.61,783.90,809.11,
192.60,819.19,839.35,892.28,887.24,834.31,897.33,824.23,778.86,811.63,814.15,806.58,783.90,748.61,723.41,
192.98,834.31,882.20,839.35,829.27,884.72,980.50,799.02,854.48,854.48,738.53,791.46,753.65,728.45,793.98,
193.36,839.35,937.65,877.16,844.39,912.45,970.42,846.91,824.23,829.27,771.30,799.02,793.98,796.50,781.38,
193.74,844.39,892.28,879.68,920.01,854.48,977.98,819.19,788.94,821.71,743.57,776.34,819.19,703.24,824.23,
194.13,824.23,826.75,909.93,824.23,859.52,957.82,791.46,849.43,781.38,791.46,829.27,783.90,771.30,816.67,
194.51,841.87,829.27,844.39,882.20,902.37,1000.67,854.48,806.58,821.71,814.15,824.23,824.23,791.46,791.46,
194.89,887.24,783.90,826.75,851.96,917.49,1020.83,834.31,806.58,824.23,799.02,857.00,809.11,864.56,748.61,
